date_key,cal_date,day,month,year,quarter,day_of_week,iso_dow,day_name,month_name,week_of_year,is_weekend,is_holiday,holiday_name,is_holiday_eve
20240101,2024-01-01,1,1,2024,1,1,1,Monday,January,1,0,0,,0
20240102,2024-01-02,2,1,2024,1,2,2,Tuesday,January,1,0,0,,0
20240103,2024-01-03,3,1,2024,1,3,3,Wednesday,January,1,0,0,,0
20240104,2024-01-04,4,1,2024,1,4,4,Thursday,January,1,0,0,,0
20240105,2024-01-05,5,1,2024,1,5,5,Friday,January,1,1,0,,0
20240106,2024-01-06,6,1,2024,1,6,6,Saturday,January,1,1,0,,0
20240107,2024-01-07,7,1,2024,1,0,7,Sunday,January,1,0,0,,0
20240108,2024-01-08,8,1,2024,1,1,1,Monday,January,2,0,0,,0
20240109,2024-01-09,9,1,2024,1,2,2,Tuesday,January,2,0,0,,0
20240110,2024-01-10,10,1,2024,1,3,3,Wednesday,January,2,0,0,,0
20240111,2024-01-11,11,1,2024,1,4,4,Thursday,January,2,0,0,,0
20240112,2024-01-12,12,1,2024,1,5,5,Friday,January,2,1,0,,0
20240113,2024-01-13,13,1,2024,1,6,6,Saturday,January,2,1,0,,0
20240114,2024-01-14,14,1,2024,1,0,7,Sunday,January,2,0,0,,0
20240115,2024-01-15,15,1,2024,1,1,1,Monday,January,3,0,0,,0
20240116,2024-01-16,16,1,2024,1,2,2,Tuesday,January,3,0,0,,0
20240117,2024-01-17,17,1,2024,1,3,3,Wednesday,January,3,0,0,,0
20240118,2024-01-18,18,1,2024,1,4,4,Thursday,January,3,0,0,,0
20240119,2024-01-19,19,1,2024,1,5,5,Friday,January,3,1,0,,0
20240120,2024-01-20,20,1,2024,1,6,6,Saturday,January,3,1,0,,0
20240121,2024-01-21,21,1,2024,1,0,7,Sunday,January,3,0,0,,0
20240122,2024-01-22,22,1,2024,1,1,1,Monday,January,4,0,0,,0
20240123,2024-01-23,23,1,2024,1,2,2,Tuesday,January,4,0,0,,0
20240124,2024-01-24,24,1,2024,1,3,3,Wednesday,January,4,0,0,,0
20240125,2024-01-25,25,1,2024,1,4,4,Thursday,January,4,0,0,,0
20240126,2024-01-26,26,1,2024,1,5,5,Friday,January,4,1,0,,0
20240127,2024-01-27,27,1,2024,1,6,6,Saturday,January,4,1,0,,0
20240128,2024-01-28,28,1,2024,1,0,7,Sunday,January,4,0,0,,0
20240129,2024-01-29,29,1,2024,1,1,1,Monday,January,5,0,0,,0
20240130,2024-01-30,30,1,2024,1,2,2,Tuesday,January,5,0,0,,0
20240131,2024-01-31,31,1,2024,1,3,3,Wednesday,January,5,0,0,,0
20240201,2024-02-01,1,2,2024,1,4,4,Thursday,February,5,0,0,,0
20240202,2024-02-02,2,2,2024,1,5,5,Friday,February,5,1,0,,0
20240203,2024-02-03,3,2,2024,1,6,6,Saturday,February,5,1,0,,0
20240204,2024-02-04,4,2,2024,1,0,7,Sunday,February,5,0,0,,0
20240205,2024-02-05,5,2,2024,1,1,1,Monday,February,6,0,0,,0
20240206,2024-02-06,6,2,2024,1,2,2,Tuesday,February,6,0,0,,0
20240207,2024-02-07,7,2,2024,1,3,3,Wednesday,February,6,0,0,,0
20240208,2024-02-08,8,2,2024,1,4,4,Thursday,February,6,0,0,,0
