product_key,sku,product_name,category,subcategory,brand,unit_cost,unit_price,base_daily_units,is_kosher,supplier_name
1,SKU-1001,Milk 3% 1L,Dairy,Milk,Tnuva,4.24,7.20,49.70,1,Tnuva
2,SKU-1002,Cottage Cheese 5% 250g,Dairy,Cheese,Tnuva,4.21,6.90,87.40,1,Tnuva
3,SKU-1003,White Cheese 9% 250g,Dairy,Cheese,Tara,5.15,7.50,64.30,1,Tara
4,SKU-1004,Yellow Cheese Emek 200g,Dairy,Cheese,Tnuva,12.60,16.90,65.90,1,Tnuva
5,SKU-1005,Yogurt Vanilla 150g,Dairy,Yogurt,Yoplait,3.10,4.50,61.60,1,Tnuva
6,SKU-1006,Butter 200g,Dairy,Butter,Tnuva,6.98,9.90,83.20,1,Tnuva
7,SKU-1007,Chocolate Milk 1L,Dairy,Milk,Tara,5.34,8.40,84.00,1,Tara
8,SKU-1101,White Bread Sliced,Bakery,Bread,Angel,4.61,6.50,57.30,1,Angel Bakeries
9,SKU-1102,Whole Wheat Bread,Bakery,Bread,Berman,5.82,7.90,62.20,1,Berman
10,SKU-1103,Pita Bread 10pk,Bakery,Flatbread,Angel,6.27,8.50,55.80,1,Angel Bakeries
11,SKU-1104,Challah,Bakery,Bread,Berman,8.60,12.90,58.00,1,Berman
12,SKU-1105,Bourekas Cheese 6pk,Bakery,Pastry,Angel,10.40,14.90,76.20,1,Angel Bakeries
13,SKU-1106,Croissant 4pk,Bakery,Pastry,Roladin,9.91,16.90,83.90,1,Roladin
14,SKU-1201,Tomatoes 1kg,Produce,Vegetables,Local,4.87,6.90,56.10,1,Agrexco
15,SKU-1202,Cucumbers 1kg,Produce,Vegetables,Local,3.59,5.90,54.30,1,Agrexco
16,SKU-1203,Bananas 1kg,Produce,Fruit,Local,5.74,8.90,54.30,1,Agrexco
17,SKU-1204,Apples Pink Lady 1kg,Produce,Fruit,Local,7.68,11.90,53.50,1,Agrexco
18,SKU-1205,Potatoes 2kg,Produce,Vegetables,Local,6.99,9.90,49.10,1,Agrexco
19,SKU-1206,Onions 1kg,Produce,Vegetables,Local,2.85,4.90,76.70,1,Agrexco
20,SKU-1207,Bell Peppers 1kg,Produce,Vegetables,Local,7.77,12.90,63.40,1,Agrexco
21,SKU-1208,Avocado 500g,Produce,Fruit,Local,7.79,10.90,79.60,1,Agrexco
22,SKU-1301,Chicken Breast 1kg,Meat & Fish,Poultry,Of Tov,24.63,34.90,22.70,1,Of Tov
23,SKU-1302,Whole Chicken 1.5kg,Meat & Fish,Poultry,Of Tov,20.76,29.90,21.10,1,Of Tov
24,SKU-1303,Ground Beef 500g,Meat & Fish,Beef,Tnuva,19.50,32.90,19.10,1,Tnuva Meat
25,SKU-1304,Beef Entrecote 1kg,Meat & Fish,Beef,Premium,56.94,89.90,17.70,1,Tnuva Meat
26,SKU-1305,Salmon Fillet 500g,Meat & Fish,Fish,Dag Frost,29.49,49.90,29.90,1,Dag Frost
27,SKU-1306,Chicken Schnitzel 700g,Meat & Fish,Poultry,Of Tov,16.83,28.90,18.90,1,Of Tov
28,SKU-1401,Frozen Pizza Margherita,Frozen,Ready Meals,Dr Oetker,13.03,18.90,21.30,1,Dr Oetker
29,SKU-1402,Frozen Mixed Vegetables 800g,Frozen,Vegetables,Sunfrost,10.20,13.90,37.20,1,Sunfrost
30,SKU-1403,Ice Cream Vanilla 1L,Frozen,Dessert,Strauss,14.59,21.90,32.60,1,Strauss
31,SKU-1404,Frozen Fries 1kg,Frozen,Potato,Sunfrost,7.82,12.90,38.60,1,Sunfrost
32,SKU-1405,Malawach 5pk,Frozen,Pastry,Tnuva,12.01,17.90,31.20,1,Tnuva
33,SKU-1501,Coca-Cola 1.5L,Beverages,Soft Drink,Coca-Cola,4.90,7.90,46.10,1,Central Bottling
34,SKU-1502,Prigat Orange Juice 1L,Beverages,Juice,Prigat,6.30,8.90,38.00,1,Prigat
35,SKU-1503,Mineral Water 6x1.5L,Beverages,Water,Neviot,11.57,15.90,56.40,1,Neviot
36,SKU-1504,Tapuzina Orange 1.5L,Beverages,Soft Drink,Tapuzina,5.38,7.50,32.60,1,Jafora
37,SKU-1505,Wissotzky Tea 25 bags,Beverages,Hot Drink,Wissotzky,8.12,12.90,52.20,1,Wissotzky
38,SKU-1506,Elite Turkish Coffee 200g,Beverages,Hot Drink,Elite,12.18,16.90,53.50,1,Strauss
39,SKU-1601,Bamba 80g,Snacks,Salty,Osem,2.89,4.50,55.50,1,Osem
40,SKU-1602,Bissli Grill 70g,Snacks,Salty,Osem,2.80,4.50,57.70,1,Osem
41,SKU-1603,Pretzels 200g,Snacks,Salty,Osem,5.16,6.90,44.10,1,Osem
42,SKU-1604,Milk Chocolate 100g,Snacks,Chocolate,Elite,4.78,6.50,44.50,1,Strauss
43,SKU-1605,Wafers Chocolate,Snacks,Sweet,Elite,3.85,5.90,43.20,1,Strauss
44,SKU-1606,Potato Chips 150g,Snacks,Salty,Tapuchips,5.35,8.90,49.00,1,Strauss
45,SKU-1701,Dish Soap 750ml,Household,Cleaning,Sano,6.37,9.90,17.90,0,Sano
46,SKU-1702,Laundry Detergent 3L,Household,Cleaning,Sano,22.52,32.90,17.20,0,Sano
47,SKU-1703,Toilet Paper 32 rolls,Household,Paper,Lily,28.78,39.90,16.70,0,Hogla-Kimberly
48,SKU-1704,Paper Towels 6 rolls,Household,Paper,Nikol,12.49,18.90,22.50,0,Hogla-Kimberly
49,SKU-1705,Garbage Bags 50pk,Household,Disposable,Sano,8.68,14.90,20.00,0,Sano
50,SKU-1706,Bleach 2L,Household,Cleaning,Economica,5.90,7.90,17.90,0,Sano
51,SKU-1801,Shampoo 700ml,Health & Beauty,Hair,Head&Shoulders,18.19,24.90,12.20,0,P&G
52,SKU-1802,Toothpaste 100ml,Health & Beauty,Oral,Colgate,7.64,12.90,11.20,0,Colgate
53,SKU-1803,Bar Soap 4pk,Health & Beauty,Body,Dove,9.91,16.90,17.50,0,Unilever
54,SKU-1804,Deodorant Roll-on,Health & Beauty,Body,Rexona,9.73,14.90,12.40,0,Unilever
55,SKU-1805,Diapers Size 4 44pk,Health & Beauty,Baby,Huggies,29.50,49.90,12.40,0,Hogla-Kimberly
56,SKU-1901,Carmel Selected Red 750ml,Wine & Spirits,Wine,Carmel,23.63,34.90,11.80,1,Carmel Winery
57,SKU-1902,Goldstar Beer 6x330ml,Wine & Spirits,Beer,Goldstar,21.53,32.90,8.20,1,Tempo
58,SKU-1903,Maccabee Beer 6x330ml,Wine & Spirits,Beer,Maccabee,18.93,31.90,10.90,1,Tempo
59,SKU-1904,Arak Elite 700ml,Wine & Spirits,Spirits,Elite Arak,29.79,39.90,7.70,1,Hacormim
60,SKU-2001,Basmati Rice 1kg,Pantry,Grains,Sugat,9.21,12.90,29.70,1,Sugat
61,SKU-2002,Spaghetti 500g,Pantry,Pasta,Osem,3.96,5.90,35.00,1,Osem
62,SKU-2003,Hummus 400g,Pantry,Spreads,Sabra,6.36,8.90,25.50,1,Strauss
63,SKU-2004,Tahini 500g,Pantry,Spreads,Achva,9.81,16.90,32.30,1,Achva
64,SKU-2005,Olive Oil 1L,Pantry,Oil,Yad Mordechai,26.98,39.90,38.60,1,Yad Mordechai
65,SKU-2006,Couscous 500g,Pantry,Grains,Osem,5.38,7.90,26.90,1,Osem
66,SKU-2007,White Sugar 1kg,Pantry,Baking,Sugat,4.75,6.90,41.30,1,Sugat
67,SKU-2008,Flour 1kg,Pantry,Baking,Sugat,3.43,5.50,38.00,1,Sugat
