store_key,store_code,store_name,city,district,store_type,size_sqm,opening_date,is_shabbat_open,latitude,longitude,is_active
1,SC-TLV-01,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,420,2019-05-12,1,32.080500,34.773900,1
2,SC-TLV-02,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,1650,2017-09-03,1,32.113900,34.804700,1
3,SC-RG-01,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,6200,2015-11-20,0,32.073200,34.824500,1
4,SC-GIV-01,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,1480,2018-02-14,0,32.072000,34.812000,1
5,SC-HOL-01,SuperChampion Holon,Holon,Tel Aviv,Supermarket,1720,2016-07-08,0,32.015800,34.779200,1
6,SC-BY-01,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1390,2019-12-01,0,32.023000,34.750300,1
7,SC-JM-01,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,5800,2014-03-17,0,31.749900,35.187700,1
8,SC-JM-02,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1600,2016-10-05,0,31.751500,35.219400,1
9,SC-JM-03,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,1510,2018-06-22,0,31.793800,35.184600,1
10,SC-HFA-01,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,6000,2015-04-30,1,32.794000,34.989300,1
11,SC-HFA-02,SuperChampion Hadar,Haifa,Haifa,Supermarket,1440,2017-01-19,1,32.811000,34.998700,1
12,SC-KBI-01,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,1680,2019-08-11,0,32.836300,35.086900,1
13,SC-NTY-01,SuperChampion Ir Yamim,Netanya,Central,Supermarket,1750,2018-11-25,0,32.286000,34.853000,1
14,SC-KS-01,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1560,2017-05-09,0,32.175000,34.906700,1
15,SC-RAN-01,SuperChampion Raanana,Raanana,Central,Supermarket,1620,2016-12-13,0,32.184700,34.871200,1
16,SC-PT-01,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,5600,2015-08-27,0,32.087100,34.887700,1
17,SC-RSH-01,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,6100,2014-10-02,0,31.971700,34.789400,1
18,SC-RHV-01,SuperChampion Rehovot,Rehovot,Central,Supermarket,1530,2019-03-28,0,31.894700,34.811800,1
19,SC-ASH-01,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,5900,2016-02-10,0,31.804200,34.655300,1
20,SC-BS-01,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,5700,2015-06-15,0,31.252100,34.791500,1
21,SC-EIL-01,SuperChampion Eilat,Eilat,Southern,Supermarket,1480,2018-09-19,1,29.557700,34.951900,1
22,SC-NAZ-01,SuperChampion Nazareth,Nazareth,Northern,Supermarket,1610,2017-11-07,0,32.701200,35.303500,1
23,SC-TIB-01,SuperChampion Tiberias,Tiberias,Northern,Supermarket,1370,2019-04-04,1,32.794800,35.532000,1
24,SC-AFU-01,SuperChampion Afula,Afula,Northern,Supermarket,1450,2018-07-23,0,32.609300,35.290100,1
