shift_key,date_key,store_key,employee_key,shift_type,scheduled_hours,actual_hours,labor_cost,is_overtime
1,20240101,1,1,Morning,8.5,9.0,730.71,1
2,20240102,1,1,Morning,8.5,8.3,673.88,0
3,20240103,1,1,Morning,8.5,8.4,682.00,0
4,20240104,1,1,Morning,8.5,8.9,722.59,1
5,20240105,1,1,Morning,5.0,5.7,462.78,1
6,20240107,1,1,Morning,8.5,7.9,641.40,0
7,20240108,1,1,Morning,8.5,8.1,657.64,0
8,20240109,1,1,Morning,8.5,8.8,714.47,1
9,20240110,1,1,Morning,8.5,8.4,682.00,0
10,20240111,1,1,Morning,8.5,9.0,730.71,1
11,20240112,1,1,Morning,5.0,4.8,389.71,0
12,20240114,1,1,Morning,8.5,9.4,763.19,1
13,20240115,1,1,Morning,8.5,9.2,746.95,1
14,20240116,1,1,Morning,8.5,9.1,738.83,1
15,20240117,1,1,Morning,8.5,8.1,657.64,0
16,20240118,1,1,Morning,8.5,7.9,641.40,0
17,20240121,1,1,Morning,8.5,8.7,706.35,0
18,20240122,1,1,Morning,8.5,8.9,722.59,1
19,20240123,1,1,Morning,8.5,8.5,690.12,0
20,20240124,1,1,Morning,8.5,8.3,673.88,0
21,20240125,1,1,Morning,8.5,8.4,682.00,0
22,20240128,1,1,Morning,8.5,8.4,682.00,0
23,20240129,1,1,Morning,8.5,9.5,771.31,1
24,20240130,1,1,Morning,8.5,8.6,698.23,0
25,20240131,1,1,Morning,8.5,9.4,763.19,1
26,20240201,1,1,Morning,8.5,9.0,730.71,1
27,20240204,1,1,Morning,8.5,8.0,649.52,0
28,20240205,1,1,Morning,8.5,9.2,746.95,1
29,20240206,1,1,Morning,8.5,8.6,698.23,0
30,20240207,1,1,Morning,8.5,8.0,649.52,0
31,20240208,1,1,Morning,8.5,8.6,698.23,0
32,20240211,1,1,Morning,8.5,9.1,738.83,1
33,20240212,1,1,Morning,8.5,9.3,755.07,1
34,20240213,1,1,Morning,8.5,8.2,665.76,0
35,20240214,1,1,Morning,8.5,8.4,682.00,0
36,20240215,1,1,Morning,8.5,8.6,698.23,0
37,20240216,1,1,Morning,5.0,4.5,365.36,0
38,20240218,1,1,Morning,8.5,8.4,682.00,0
39,20240219,1,1,Morning,8.5,8.1,657.64,0
40,20240220,1,1,Morning,8.5,8.3,673.88,0
41,20240221,1,1,Morning,8.5,8.4,682.00,0
42,20240222,1,1,Morning,8.5,9.2,746.95,1
43,20240225,1,1,Morning,8.5,9.5,771.31,1
44,20240226,1,1,Morning,8.5,8.0,649.52,0
45,20240227,1,1,Morning,8.5,9.4,763.19,1
46,20240228,1,1,Morning,8.5,8.9,722.59,1
47,20240229,1,1,Morning,8.5,9.3,755.07,1
48,20240301,1,1,Morning,5.0,5.0,405.95,0
49,20240303,1,1,Morning,8.5,8.1,657.64,0
50,20240304,1,1,Morning,8.5,8.2,665.76,0
51,20240305,1,1,Morning,8.5,8.9,722.59,1
52,20240306,1,1,Morning,8.5,8.6,698.23,0
53,20240307,1,1,Morning,8.5,8.9,722.59,1
54,20240308,1,1,Morning,5.0,5.6,454.66,1
55,20240310,1,1,Morning,8.5,9.4,763.19,1
56,20240311,1,1,Morning,8.5,8.9,722.59,1
57,20240312,1,1,Morning,8.5,9.4,763.19,1
58,20240313,1,1,Morning,8.5,8.6,698.23,0
59,20240314,1,1,Morning,8.5,8.5,690.12,0
60,20240317,1,1,Morning,8.5,8.0,649.52,0
61,20240318,1,1,Morning,8.5,8.6,698.23,0
62,20240319,1,1,Morning,8.5,9.4,763.19,1
63,20240320,1,1,Morning,8.5,9.0,730.71,1
64,20240321,1,1,Morning,8.5,8.5,690.12,0
65,20240322,1,1,Morning,5.0,5.1,414.07,0
66,20240325,1,1,Morning,8.5,8.3,673.88,0
67,20240326,1,1,Morning,8.5,9.2,746.95,1
68,20240327,1,1,Morning,8.5,8.3,673.88,0
69,20240328,1,1,Morning,8.5,8.8,714.47,1
70,20240329,1,1,Morning,5.0,4.5,365.36,0
71,20240331,1,1,Morning,8.5,9.3,755.07,1
72,20240401,1,1,Morning,8.5,8.3,673.88,0
73,20240402,1,1,Morning,8.5,8.9,722.59,1
74,20240403,1,1,Morning,8.5,8.8,714.47,1
75,20240404,1,1,Morning,8.5,8.9,722.59,1
76,20240405,1,1,Morning,5.0,4.5,365.36,0
77,20240407,1,1,Morning,8.5,8.8,714.47,1
78,20240408,1,1,Morning,8.5,9.1,738.83,1
79,20240409,1,1,Morning,8.5,8.0,649.52,0
80,20240410,1,1,Morning,8.5,9.4,763.19,1
81,20240411,1,1,Morning,8.5,8.8,714.47,1
82,20240412,1,1,Morning,5.0,5.3,430.31,1
83,20240414,1,1,Morning,8.5,9.1,738.83,1
84,20240415,1,1,Morning,8.5,8.5,690.12,0
85,20240416,1,1,Morning,8.5,9.0,730.71,1
86,20240417,1,1,Morning,8.5,8.3,673.88,0
87,20240418,1,1,Morning,8.5,8.6,698.23,0
88,20240419,1,1,Morning,5.0,4.5,365.36,0
89,20240421,1,1,Morning,8.5,9.2,746.95,1
90,20240422,1,1,Morning,8.5,9.4,763.19,1
91,20240424,1,1,Morning,8.5,8.2,665.76,0
92,20240425,1,1,Morning,8.5,8.7,706.35,0
93,20240426,1,1,Morning,5.0,4.7,381.59,0
94,20240428,1,1,Morning,8.5,8.8,714.47,1
95,20240430,1,1,Morning,8.5,8.3,673.88,0
96,20240501,1,1,Morning,8.5,9.5,771.31,1
97,20240502,1,1,Morning,8.5,8.1,657.64,0
98,20240503,1,1,Morning,5.0,6.0,487.14,1
99,20240505,1,1,Morning,8.5,8.5,690.12,0
100,20240506,1,1,Morning,8.5,8.8,714.47,1
101,20240507,1,1,Morning,8.5,8.1,657.64,0
102,20240508,1,1,Morning,8.5,8.2,665.76,0
103,20240509,1,1,Morning,8.5,8.8,714.47,1
104,20240510,1,1,Morning,5.0,5.7,462.78,1
105,20240512,1,1,Morning,8.5,9.5,771.31,1
106,20240513,1,1,Morning,8.5,8.8,714.47,1
107,20240515,1,1,Morning,8.5,8.7,706.35,0
108,20240516,1,1,Morning,8.5,9.3,755.07,1
109,20240519,1,1,Morning,8.5,9.2,746.95,1
110,20240520,1,1,Morning,8.5,8.4,682.00,0
111,20240521,1,1,Morning,8.5,8.3,673.88,0
112,20240522,1,1,Morning,8.5,9.5,771.31,1
113,20240523,1,1,Morning,8.5,8.9,722.59,1
114,20240526,1,1,Morning,8.5,9.0,730.71,1
115,20240527,1,1,Morning,8.5,9.3,755.07,1
116,20240528,1,1,Morning,8.5,8.1,657.64,0
117,20240529,1,1,Morning,8.5,8.5,690.12,0
118,20240530,1,1,Morning,8.5,8.3,673.88,0
119,20240531,1,1,Morning,5.0,5.9,479.02,1
120,20240602,1,1,Morning,8.5,9.3,755.07,1
121,20240603,1,1,Morning,8.5,8.7,706.35,0
122,20240604,1,1,Morning,8.5,9.3,755.07,1
123,20240605,1,1,Morning,8.5,8.6,698.23,0
124,20240606,1,1,Morning,8.5,8.4,682.00,0
125,20240607,1,1,Morning,5.0,5.5,446.55,1
126,20240609,1,1,Morning,8.5,8.3,673.88,0
127,20240610,1,1,Morning,8.5,8.6,698.23,0
128,20240611,1,1,Morning,8.5,9.5,771.31,1
129,20240613,1,1,Morning,8.5,8.8,714.47,1
130,20240616,1,1,Morning,8.5,8.2,665.76,0
131,20240617,1,1,Morning,8.5,9.5,771.31,1
132,20240618,1,1,Morning,8.5,9.3,755.07,1
133,20240619,1,1,Morning,8.5,9.0,730.71,1
134,20240620,1,1,Morning,8.5,9.4,763.19,1
135,20240621,1,1,Morning,5.0,4.5,365.36,0
136,20240623,1,1,Morning,8.5,8.7,706.35,0
137,20240624,1,1,Morning,8.5,9.4,763.19,1
138,20240625,1,1,Morning,8.5,9.1,738.83,1
139,20240626,1,1,Morning,8.5,9.3,755.07,1
140,20240627,1,1,Morning,8.5,8.1,657.64,0
141,20240628,1,1,Morning,5.0,5.7,462.78,1
142,20240630,1,1,Morning,8.5,9.4,763.19,1
143,20240701,1,1,Morning,8.5,8.5,690.12,0
144,20240702,1,1,Morning,8.5,8.6,698.23,0
145,20240703,1,1,Morning,8.5,8.9,722.59,1
146,20240704,1,1,Morning,8.5,8.8,714.47,1
147,20240707,1,1,Morning,8.5,9.3,755.07,1
148,20240708,1,1,Morning,8.5,8.6,698.23,0
149,20240709,1,1,Morning,8.5,9.4,763.19,1
150,20240710,1,1,Morning,8.5,8.2,665.76,0
151,20240711,1,1,Morning,8.5,9.2,746.95,1
152,20240714,1,1,Morning,8.5,9.0,730.71,1
153,20240715,1,1,Morning,8.5,8.8,714.47,1
154,20240716,1,1,Morning,8.5,9.2,746.95,1
155,20240717,1,1,Morning,8.5,9.5,771.31,1
156,20240718,1,1,Morning,8.5,9.4,763.19,1
157,20240721,1,1,Morning,8.5,8.7,706.35,0
158,20240722,1,1,Morning,8.5,9.2,746.95,1
159,20240723,1,1,Morning,8.5,8.2,665.76,0
160,20240724,1,1,Morning,8.5,9.5,771.31,1
161,20240725,1,1,Morning,8.5,9.4,763.19,1
162,20240726,1,1,Morning,5.0,5.8,470.90,1
163,20240728,1,1,Morning,8.5,9.4,763.19,1
164,20240729,1,1,Morning,8.5,8.8,714.47,1
165,20240730,1,1,Morning,8.5,9.4,763.19,1
166,20240731,1,1,Morning,8.5,8.0,649.52,0
167,20240801,1,1,Morning,8.5,9.1,738.83,1
168,20240802,1,1,Morning,5.0,5.3,430.31,1
169,20240804,1,1,Morning,8.5,8.5,690.12,0
170,20240805,1,1,Morning,8.5,9.3,755.07,1
171,20240806,1,1,Morning,8.5,8.9,722.59,1
172,20240807,1,1,Morning,8.5,8.8,714.47,1
173,20240808,1,1,Morning,8.5,9.4,763.19,1
174,20240811,1,1,Morning,8.5,9.3,755.07,1
175,20240812,1,1,Morning,8.5,8.5,690.12,0
176,20240813,1,1,Morning,8.5,9.0,730.71,1
177,20240814,1,1,Morning,8.5,9.0,730.71,1
178,20240815,1,1,Morning,8.5,9.2,746.95,1
179,20240818,1,1,Morning,8.5,8.8,714.47,1
180,20240819,1,1,Morning,8.5,9.1,738.83,1
181,20240820,1,1,Morning,8.5,8.2,665.76,0
