year,month,category,units_sold,net_revenue,gross_margin,margin_pct
2024,6,Frozen,61871,973645.57,277288.28,28.48
2024,4,Household,44790,855415.01,239952.37,28.05
2024,12,Beverages,113335,1306858.84,344422.28,26.35
2024,4,Produce,190207,1602239.21,487658.31,30.44
2024,3,Meat & Fish,52911,2243477.67,739080.78,32.94
2025,12,Snacks,120007,683884.42,201830.47,29.51
2025,11,Frozen,59327,924642.41,264237.59,28.58
2024,10,Snacks,108659,625990.27,183786.27,29.36
2025,6,Meat & Fish,50811,2095618.79,698265.35,33.32
2025,12,Beverages,111144,1296112.06,337816.58,26.06
2024,7,Frozen,65646,1037583.30,296936.91,28.62
2024,7,Health & Beauty,26101,565485.97,189833.39,33.57
2024,7,Wine & Spirits,15400,501274.50,145272.20,28.98
2024,4,Bakery,149995,1674981.34,482149.19,28.79
2025,4,Dairy,200183,1632517.90,454883.25,27.86
2025,3,Dairy,184951,1535509.39,426638.89,27.78
2024,5,Beverages,113529,1308543.11,345978.61,26.44
2025,8,Meat & Fish,51850,2125706.23,704742.70,33.15
2025,9,Bakery,155407,1736206.54,499985.01,28.80
2025,3,Produce,183114,1559840.43,472267.03,30.28
2024,2,Wine & Spirits,13890,453016.83,131816.91,29.10
2025,1,Health & Beauty,27237,618899.74,208426.20,33.68
2024,3,Household,46863,895805.28,249468.51,27.85
2024,1,Meat & Fish,50499,2093191.22,694769.03,33.19
2025,8,Beverages,111219,1279831.59,335741.56,26.23
2024,11,Meat & Fish,49779,2046055.97,673478.99,32.92
2025,8,Snacks,117787,675198.77,199929.46,29.61
2024,12,Snacks,118638,679794.43,201178.69,29.59
2024,10,Dairy,184398,1527554.17,423774.63,27.74
2024,1,Pantry,108591,1343753.97,394702.76,29.37
2025,9,Wine & Spirits,14617,473871.04,139304.45,29.40
2025,11,Pantry,102812,1311169.76,381412.62,29.09
2025,7,Meat & Fish,54678,2275153.09,754740.13,33.17
2024,10,Beverages,103312,1191550.82,317632.71,26.66
2025,2,Household,38866,743750.50,208983.25,28.10
2024,3,Snacks,123641,712435.54,208309.42,29.24
2024,12,Frozen,66818,1063602.48,302559.37,28.45
2025,1,Snacks,119924,689307.14,204063.69,29.60
2025,9,Dairy,196472,1633252.41,457943.98,28.04
2024,11,Beverages,104859,1200508.05,316716.18,26.38
2025,10,Snacks,120915,694211.63,202362.41,29.15
2025,2,Wine & Spirits,13309,433107.49,125664.44,29.01
2024,1,Produce,191271,1624571.95,489099.94,30.11
2025,7,Produce,189836,1589581.24,480078.55,30.20
2025,11,Household,41515,790062.76,221286.28,28.01
2024,8,Health & Beauty,25191,551983.80,186746.22,33.83
2025,6,Snacks,114768,659585.29,195883.09,29.70
2024,10,Meat & Fish,47151,1968262.98,652093.62,33.13
2024,12,Dairy,195996,1619678.34,452494.84,27.94
2024,12,Pantry,105826,1337645.32,386836.10,28.92
2024,8,Household,43498,827373.73,231984.31,28.04
2024,3,Dairy,202497,1654949.42,462898.20,27.97
2024,5,Meat & Fish,53255,2215870.39,730609.03,32.97
2025,4,Household,45901,878653.36,246560.05,28.06
2024,3,Produce,202966,1714310.84,521429.84,30.42
2025,10,Meat & Fish,52666,2160261.45,709024.20,32.82
2025,4,Beverages,114140,1326384.52,346611.84,26.13
2024,7,Produce,201055,1674541.14,508899.72,30.39
2025,5,Produce,187862,1601198.58,488940.93,30.54
2025,12,Meat & Fish,50063,2065565.09,684109.16,33.12
