sales_date,date_key,store_key,store_name,city,district,store_type,units_sold,gross_revenue,discount_amount,net_revenue,total_cost,gross_margin,margin_pct,num_transactions,distinct_products,avg_basket_value
2024-01-01,20240101,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,380,5085.60,437.90,4647.70,3352.88,1294.82,27.86,113,20,41.13
2024-01-01,20240101,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,1175,12754.10,718.77,12035.33,8305.06,3730.27,30.99,332,23,36.25
2024-01-01,20240101,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,2579,31701.60,1746.55,29955.05,21725.33,8229.72,27.47,709,28,42.25
2024-01-01,20240101,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,985,14060.90,744.20,13316.70,9249.29,4067.41,30.54,316,24,42.14
2024-01-01,20240101,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,1253,16372.10,939.56,15432.54,11034.76,4397.78,28.50,347,31,44.47
2024-01-01,20240101,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1116,13070.80,970.31,12100.49,8532.35,3568.14,29.49,357,26,33.89
2024-01-01,20240101,7,SuperChampion Malha,Jerusalem,Jerusalem,Hypermarket,3403,35928.70,1988.26,33940.44,24171.48,9768.96,28.78,966,32,35.14
2024-01-01,20240101,8,SuperChampion Talpiot,Jerusalem,Jerusalem,Supermarket,1148,17224.80,1085.54,16139.26,11471.64,4667.62,28.92,361,29,44.71
2024-01-01,20240101,9,SuperChampion Givat Shaul,Jerusalem,Jerusalem,Supermarket,1028,12655.30,689.94,11965.36,8547.21,3418.15,28.57,286,24,41.84
2024-01-01,20240101,10,SuperChampion Grand Canyon,Haifa,Haifa,Hypermarket,2993,46825.90,2808.74,44017.16,31271.18,12745.98,28.96,970,34,45.38
2024-01-01,20240101,11,SuperChampion Hadar,Haifa,Haifa,Supermarket,966,11578.50,688.09,10890.41,7768.97,3121.44,28.66,260,23,41.89
2024-01-01,20240101,12,SuperChampion Krayot,Kiryat Bialik,Haifa,Supermarket,1227,18521.70,877.86,17643.84,11986.41,5657.43,32.06,342,29,51.59
2024-01-01,20240101,13,SuperChampion Ir Yamim,Netanya,Central,Supermarket,970,12541.90,640.40,11901.50,8270.69,3630.81,30.51,254,23,46.86
2024-01-01,20240101,14,SuperChampion Kfar Saba,Kfar Saba,Central,Supermarket,1288,18171.70,1011.72,17159.98,11855.65,5304.33,30.91,340,30,50.47
2024-01-01,20240101,15,SuperChampion Raanana,Raanana,Central,Supermarket,936,11846.20,776.53,11069.67,7745.95,3323.72,30.03,242,19,45.74
2024-01-01,20240101,16,SuperChampion Petah Tikva,Petah Tikva,Central,Hypermarket,3285,35488.30,2053.52,33434.78,23194.61,10240.17,30.63,948,34,35.27
2024-01-01,20240101,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,Hypermarket,1596,24568.40,1408.72,23159.68,16555.71,6603.97,28.51,433,20,53.49
2024-01-01,20240101,18,SuperChampion Rehovot,Rehovot,Central,Supermarket,1045,13844.00,979.70,12864.30,8944.89,3919.41,30.47,320,26,40.20
2024-01-01,20240101,19,SuperChampion Ashdod,Ashdod,Southern,Hypermarket,2459,26245.60,1800.05,24445.55,17438.22,7007.33,28.67,612,27,39.94
2024-01-01,20240101,20,SuperChampion Beer Sheva,Beer Sheva,Southern,Hypermarket,2981,33849.90,2172.54,31677.36,22955.45,8721.91,27.53,925,31,34.25
2024-01-01,20240101,21,SuperChampion Eilat,Eilat,Southern,Supermarket,1482,18048.20,1241.36,16806.84,11866.51,4940.33,29.39,481,29,34.94
2024-01-01,20240101,22,SuperChampion Nazareth,Nazareth,Northern,Supermarket,994,11352.20,855.81,10496.39,7796.68,2699.71,25.72,291,25,36.07
2024-01-01,20240101,23,SuperChampion Tiberias,Tiberias,Northern,Supermarket,912,14119.60,826.35,13293.25,9053.79,4239.46,31.89,257,23,51.72
2024-01-01,20240101,24,SuperChampion Afula,Afula,Northern,Supermarket,1209,14522.30,976.43,13545.87,9816.26,3729.61,27.53,348,27,38.92
2024-01-02,20240102,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,Express,446,5409.50,404.63,5004.87,3635.64,1369.23,27.36,146,25,34.28
2024-01-02,20240102,2,SuperChampion Ramat Aviv,Tel Aviv,Tel Aviv,Supermarket,1390,18825.80,1114.34,17711.46,12393.08,5318.38,30.03,421,35,42.07
2024-01-02,20240102,3,SuperChampion Ayalon,Ramat Gan,Tel Aviv,Hypermarket,2112,28478.20,2196.16,26282.04,18911.55,7370.49,28.04,531,23,49.50
2024-01-02,20240102,4,SuperChampion Givatayim,Givatayim,Tel Aviv,Supermarket,1322,16210.60,1072.82,15137.78,10626.53,4511.25,29.80,363,33,41.70
2024-01-02,20240102,5,SuperChampion Holon,Holon,Tel Aviv,Supermarket,1478,18517.00,957.78,17559.22,12199.42,5359.80,30.52,452,29,38.85
2024-01-02,20240102,6,SuperChampion Bat Yam,Bat Yam,Tel Aviv,Supermarket,1327,15624.20,815.23,14808.97,10560.73,4248.24,28.69,384,30,38.57
