year,month,month_name,active_stores,net_revenue,gross_margin,margin_pct,labor_cost,contribution,num_transactions,avg_basket_value
2024,1,January  ,24,13246868.34,3911596.61,29.53,1461395.83,2450200.78,304473,43.51
2024,2,February ,24,12664847.21,3733728.48,29.48,1386093.50,2347634.98,289234,43.79
2024,3,March    ,24,13934536.98,4115223.49,29.53,1499984.79,2615238.70,318222,43.79
2024,4,April    ,24,12760741.26,3766502.55,29.52,1516844.37,2249658.18,295694,43.16
2024,5,May      ,24,13656184.57,4029754.80,29.51,1591911.47,2437843.33,314748,43.39
2024,6,June     ,24,12694685.24,3756383.37,29.59,1596017.69,2160365.68,293784,43.21
2024,7,July     ,24,13578688.18,4023644.35,29.63,1754510.26,2269134.09,310936,43.67
2024,8,August   ,24,13243416.34,3904434.95,29.48,1650084.30,2254350.65,303435,43.64
2024,9,September,24,13160428.24,3881370.51,29.49,1824388.83,2056981.68,302969,43.44
2024,10,October  ,24,12533231.88,3701267.13,29.53,1729827.16,1971439.97,286843,43.69
2024,11,November ,24,12857860.08,3779885.54,29.40,1760553.81,2019331.73,296497,43.37
2024,12,December ,24,13339566.55,3932419.02,29.48,2075127.05,1857291.97,305943,43.60
2025,1,January  ,24,13908363.30,4118655.40,29.61,2058410.24,2060245.16,317224,43.84
2025,2,February ,24,12201276.34,3602982.82,29.53,1798350.59,1804632.23,278135,43.87
2025,3,March    ,24,12768179.36,3767642.48,29.51,2006818.98,1760823.50,290645,43.93
2025,4,April    ,24,13811242.73,4076324.29,29.51,2013137.23,2063187.06,317845,43.45
2025,5,May      ,24,12859471.22,3800093.49,29.55,1958806.20,1841287.29,295937,43.45
2025,6,June     ,24,13038570.41,3872435.95,29.70,2138650.72,1733785.23,298090,43.74
2025,7,July     ,24,13475762.88,3980947.85,29.54,2268812.83,1712135.02,307373,43.84
2025,8,August   ,24,13373625.84,3955242.65,29.57,2020415.07,1934827.58,307509,43.49
2025,9,September,24,12781239.12,3770120.09,29.50,2109200.19,1660919.90,292656,43.67
2025,10,October  ,24,13760765.32,4059040.38,29.50,1834087.55,2224952.83,315082,43.67
2025,11,November ,24,12673568.57,3740605.07,29.52,2141382.15,1599222.92,291457,43.48
2025,12,December ,24,13306615.12,3931261.98,29.54,2113721.92,1817540.06,307379,43.29
