year,month,month_name,store_key,store_name,city,district,net_revenue,gross_margin,labor_cost,labor_pct_of_revenue,contribution,num_transactions
2024,12,December ,13,SuperChampion Ir Yamim,Netanya,Central,402240.71,117023.00,128243.03,31.88,-11220.03,9513
2024,8,August   ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,848056.47,244670.57,63721.49,7.51,180949.08,19856
2025,12,December ,22,SuperChampion Nazareth,Nazareth,Northern,416368.06,122566.55,96293.24,23.13,26273.31,10062
2024,1,January  ,7,SuperChampion Malha,Jerusalem,Jerusalem,871985.98,257499.61,64766.37,7.43,192733.24,20326
2025,6,June     ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,190886.13,55505.85,97461.97,51.06,-41956.12,4660
2025,8,August   ,10,SuperChampion Grand Canyon,Haifa,Haifa,971291.14,288446.67,62730.74,6.46,225715.93,21424
2025,4,April    ,14,SuperChampion Kfar Saba,Kfar Saba,Central,416317.59,122033.19,98141.13,23.57,23892.06,9508
2025,10,October  ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,995857.35,290839.10,83273.32,8.36,207565.78,22186
2024,5,May      ,8,SuperChampion Talpiot,Jerusalem,Jerusalem,403189.32,119173.60,53314.46,13.22,65859.14,9547
2024,3,March    ,17,SuperChampion Rishon LeZion,Rishon LeZion,Central,930256.92,274204.51,37598.77,4.04,236605.74,21641
2025,5,May      ,14,SuperChampion Kfar Saba,Kfar Saba,Central,385394.60,113180.44,93921.91,24.37,19258.53,8834
2024,7,July     ,4,SuperChampion Givatayim,Givatayim,Tel Aviv,417531.24,122420.02,73514.65,17.61,48905.37,9376
2025,12,December ,10,SuperChampion Grand Canyon,Haifa,Haifa,1003133.23,296560.08,65510.48,6.53,231049.60,23114
2024,4,April    ,20,SuperChampion Beer Sheva,Beer Sheva,Southern,885968.83,262611.31,66223.72,7.47,196387.59,20738
2024,12,December ,7,SuperChampion Malha,Jerusalem,Jerusalem,945190.94,278854.55,93174.54,9.86,185680.01,20322
2024,7,July     ,1,SuperChampion Dizengoff,Tel Aviv,Tel Aviv,191571.40,56820.16,71481.69,37.31,-14661.53,4602
2024,3,March    ,10,SuperChampion Grand Canyon,Haifa,Haifa,1011627.09,297207.51,20169.90,1.99,277037.61,22095
