year,month,store_key,store_name,district,total_hours,overtime_hours,labor_cost,headcount,avg_hourly_cost
2024,1,1,SuperChampion Dizengoff,Tel Aviv,1098.1,488.6,55557.29,6,50.59
2024,2,1,SuperChampion Dizengoff,Tel Aviv,1202.4,649.1,57523.63,7,47.84
2024,3,1,SuperChampion Dizengoff,Tel Aviv,1265.1,583.3,60387.39,7,47.73
2024,4,1,SuperChampion Dizengoff,Tel Aviv,1270.3,690.1,60549.60,7,47.67
2024,5,1,SuperChampion Dizengoff,Tel Aviv,1300.5,740.1,62040.57,7,47.71
2024,6,1,SuperChampion Dizengoff,Tel Aviv,1371.0,709.1,65734.13,8,47.95
2024,7,1,SuperChampion Dizengoff,Tel Aviv,1487.5,877.1,71481.69,8,48.05
2024,8,1,SuperChampion Dizengoff,Tel Aviv,1491.6,838.6,72886.24,9,48.86
2024,9,1,SuperChampion Dizengoff,Tel Aviv,1665.9,866.6,81757.18,9,49.08
2024,10,1,SuperChampion Dizengoff,Tel Aviv,1531.6,829.5,75269.42,9,49.14
2024,11,1,SuperChampion Dizengoff,Tel Aviv,1517.7,809.3,74467.39,9,49.07
2024,12,1,SuperChampion Dizengoff,Tel Aviv,1759.4,936.1,86203.44,9,49.00
2025,1,1,SuperChampion Dizengoff,Tel Aviv,1684.0,685.0,82596.55,9,49.05
2025,2,1,SuperChampion Dizengoff,Tel Aviv,1471.9,810.4,72253.24,9,49.09
2025,3,1,SuperChampion Dizengoff,Tel Aviv,1687.7,896.7,83170.11,10,49.28
2025,4,1,SuperChampion Dizengoff,Tel Aviv,1985.7,1125.4,94920.48,11,47.80
2025,5,1,SuperChampion Dizengoff,Tel Aviv,1889.9,1058.2,90192.94,11,47.72
2025,6,1,SuperChampion Dizengoff,Tel Aviv,2038.0,1050.8,97461.97,11,47.82
2025,7,1,SuperChampion Dizengoff,Tel Aviv,2153.2,1089.6,102935.23,11,47.81
2025,8,1,SuperChampion Dizengoff,Tel Aviv,1924.1,985.7,91941.36,11,47.78
2025,9,1,SuperChampion Dizengoff,Tel Aviv,2011.7,1114.0,95968.32,11,47.71
2025,10,1,SuperChampion Dizengoff,Tel Aviv,1739.8,918.0,83175.87,11,47.81
2025,11,1,SuperChampion Dizengoff,Tel Aviv,2036.7,1065.6,97299.70,11,47.77
2025,12,1,SuperChampion Dizengoff,Tel Aviv,2015.5,1115.4,96345.97,11,47.80
2024,1,2,SuperChampion Ramat Aviv,Tel Aviv,1409.9,744.5,67834.82,8,48.11
2024,2,2,SuperChampion Ramat Aviv,Tel Aviv,1411.1,757.0,67705.49,8,47.98
2024,3,2,SuperChampion Ramat Aviv,Tel Aviv,1454.9,661.8,69542.65,8,47.80
2024,4,2,SuperChampion Ramat Aviv,Tel Aviv,1466.9,761.4,70271.90,8,47.91
2024,5,2,SuperChampion Ramat Aviv,Tel Aviv,1485.4,739.9,71153.13,8,47.90
2024,6,2,SuperChampion Ramat Aviv,Tel Aviv,1589.2,851.2,74013.44,9,46.57
2024,7,2,SuperChampion Ramat Aviv,Tel Aviv,1738.7,918.8,80888.62,9,46.52
2024,8,2,SuperChampion Ramat Aviv,Tel Aviv,1596.8,841.5,74178.18,9,46.45
2024,9,2,SuperChampion Ramat Aviv,Tel Aviv,1852.0,940.6,87525.94,10,47.26
2024,10,2,SuperChampion Ramat Aviv,Tel Aviv,1759.9,939.4,83491.02,10,47.44
2024,11,2,SuperChampion Ramat Aviv,Tel Aviv,1751.3,868.7,83067.97,10,47.43
2024,12,2,SuperChampion Ramat Aviv,Tel Aviv,2020.9,1066.6,95884.96,10,47.45
2025,1,2,SuperChampion Ramat Aviv,Tel Aviv,1956.0,858.6,92666.11,10,47.38
2025,2,2,SuperChampion Ramat Aviv,Tel Aviv,1713.1,978.9,81310.28,10,47.46
2025,3,2,SuperChampion Ramat Aviv,Tel Aviv,1864.2,967.2,88442.24,10,47.44
2025,4,2,SuperChampion Ramat Aviv,Tel Aviv,1835.5,945.2,87131.65,10,47.47
2025,5,2,SuperChampion Ramat Aviv,Tel Aviv,1745.6,862.9,82967.46,10,47.53
2025,6,2,SuperChampion Ramat Aviv,Tel Aviv,1878.6,947.4,89133.27,10,47.45
2025,7,2,SuperChampion Ramat Aviv,Tel Aviv,2002.7,1036.4,95152.92,10,47.51
2025,8,2,SuperChampion Ramat Aviv,Tel Aviv,1782.2,889.6,84576.35,10,47.46
2025,9,2,SuperChampion Ramat Aviv,Tel Aviv,1853.0,895.1,87798.44,10,47.38
2025,10,2,SuperChampion Ramat Aviv,Tel Aviv,1618.1,870.6,76836.76,10,47.49
2025,11,2,SuperChampion Ramat Aviv,Tel Aviv,1887.1,960.7,89606.13,10,47.48
2025,12,2,SuperChampion Ramat Aviv,Tel Aviv,1864.7,927.8,88654.89,10,47.54
2024,1,3,SuperChampion Ayalon,Tel Aviv,1265.7,611.2,62294.41,6,49.22
2024,2,3,SuperChampion Ayalon,Tel Aviv,1131.2,545.9,55794.29,6,49.32
2024,3,3,SuperChampion Ayalon,Tel Aviv,1173.6,650.9,57754.57,6,49.21
2024,4,3,SuperChampion Ayalon,Tel Aviv,1166.1,552.5,57284.96,6,49.13
2024,5,3,SuperChampion Ayalon,Tel Aviv,1240.3,580.5,60324.15,7,48.64
2024,6,3,SuperChampion Ayalon,Tel Aviv,1335.6,787.1,63209.16,7,47.33
2024,7,3,SuperChampion Ayalon,Tel Aviv,1442.0,762.9,68115.20,7,47.24
2024,8,3,SuperChampion Ayalon,Tel Aviv,1320.6,679.5,62430.11,7,47.27
2024,9,3,SuperChampion Ayalon,Tel Aviv,1422.4,809.9,67227.34,7,47.26
2024,10,3,SuperChampion Ayalon,Tel Aviv,1399.5,696.7,66901.41,8,47.80
2024,11,3,SuperChampion Ayalon,Tel Aviv,1479.1,801.0,71068.68,8,48.05
2024,12,3,SuperChampion Ayalon,Tel Aviv,1695.6,782.7,81654.96,8,48.16
2025,1,3,SuperChampion Ayalon,Tel Aviv,1667.0,861.7,80177.61,8,48.10
2025,2,3,SuperChampion Ayalon,Tel Aviv,1491.4,712.4,71073.76,9,47.66
2025,3,3,SuperChampion Ayalon,Tel Aviv,1786.6,1036.9,83710.12,9,46.85
2025,4,3,SuperChampion Ayalon,Tel Aviv,1743.3,895.7,81666.17,9,46.85
2025,5,3,SuperChampion Ayalon,Tel Aviv,1768.5,981.7,82246.13,10,46.51
2025,6,3,SuperChampion Ayalon,Tel Aviv,1981.2,890.1,91493.08,10,46.18
2025,7,3,SuperChampion Ayalon,Tel Aviv,2119.9,1162.4,97766.68,10,46.12
2025,8,3,SuperChampion Ayalon,Tel Aviv,1892.2,1026.8,87443.56,10,46.21
2025,9,3,SuperChampion Ayalon,Tel Aviv,1963.9,1054.1,90557.32,10,46.11
2025,10,3,SuperChampion Ayalon,Tel Aviv,1714.7,881.5,79220.90,10,46.20
2025,11,3,SuperChampion Ayalon,Tel Aviv,1997.4,1097.5,92054.09,10,46.09
2025,12,3,SuperChampion Ayalon,Tel Aviv,1972.2,946.1,91022.50,10,46.15
2024,1,4,SuperChampion Givatayim,Tel Aviv,1209.8,591.7,47582.62,6,39.33
2024,2,4,SuperChampion Givatayim,Tel Aviv,1075.1,511.6,42205.65,6,39.26
2024,3,4,SuperChampion Givatayim,Tel Aviv,1230.2,726.1,48097.01,7,39.10
2024,4,4,SuperChampion Givatayim,Tel Aviv,1324.0,745.1,51556.36,7,38.94
2024,5,4,SuperChampion Givatayim,Tel Aviv,1454.8,703.1,56054.82,8,38.53
2024,6,4,SuperChampion Givatayim,Tel Aviv,1685.3,892.2,63967.34,10,37.96
2024,7,4,SuperChampion Givatayim,Tel Aviv,1945.7,982.7,73514.65,10,37.78
2024,8,4,SuperChampion Givatayim,Tel Aviv,1786.8,968.1,67541.66,10,37.80
2024,9,4,SuperChampion Givatayim,Tel Aviv,1917.2,988.0,72322.41,10,37.72
2024,10,4,SuperChampion Givatayim,Tel Aviv,1746.0,889.7,65926.23,10,37.76
2024,11,4,SuperChampion Givatayim,Tel Aviv,1746.8,914.1,65919.13,10,37.74
2024,12,4,SuperChampion Givatayim,Tel Aviv,2019.5,947.6,76279.37,10,37.77
2025,1,4,SuperChampion Givatayim,Tel Aviv,1959.5,935.5,74008.31,10,37.77
2025,2,4,SuperChampion Givatayim,Tel Aviv,1705.5,933.6,64340.16,10,37.73
2025,3,4,SuperChampion Givatayim,Tel Aviv,1873.8,1019.5,70727.64,10,37.75
2025,4,4,SuperChampion Givatayim,Tel Aviv,1841.8,947.8,69531.25,10,37.75
2025,5,4,SuperChampion Givatayim,Tel Aviv,1754.3,913.4,66230.49,10,37.75
2025,6,4,SuperChampion Givatayim,Tel Aviv,1887.5,990.3,71215.71,10,37.73
2025,7,4,SuperChampion Givatayim,Tel Aviv,2007.3,1103.8,75758.68,10,37.74
2025,8,4,SuperChampion Givatayim,Tel Aviv,1767.5,850.2,66653.46,10,37.71
2025,9,4,SuperChampion Givatayim,Tel Aviv,1844.0,800.1,69626.42,10,37.76
2025,10,4,SuperChampion Givatayim,Tel Aviv,1625.2,883.4,61309.83,10,37.72
2025,11,4,SuperChampion Givatayim,Tel Aviv,1895.8,1046.7,71571.17,10,37.75
